Territori,Tipus de territori,2015,2016,2017,2018,2019,2020,2021,2022
la Trinitat Vella,Barri,"56,91","55,87","55,90","55,76","54,28","54,37","57,44","57,46"
Baró de Viver,Barri,"54,20","54,43","54,33","55,56","53,41","54,91","58,34","59,45"
el Bon Pastor,Barri,"72,36","71,26","70,86","71,16","70,13","69,87","73,68","71,91"
Sant Andreu (Barri),-,"99,26","97,16","95,43","95,90","95,39","96,95","99,21","96,97"
la Sagrera,Barri,"92,28","90,65","89,36","88,66","88,03","90,21","91,52","89,81"
el Congrés i els Indians,Barri,"92,04","90,07","89,12","89,05","89,14","89,20","92,79","90,54"
Navas,Barri,"93,25","92,15","90,93","91,21","90,35","92,15","94,57","92,93"
Sant Martí,Districte,"93,40","92,19","91,05","90,64","90,41","91,47","93,35","93,03"
el Camp de l'Arpa del Clot,Barri,"96,85","95,64","94,34","93,93","92,91","95,29","96,75","97,13"
el Clot,Barri,"94,74","93,88","92,06","92,96","91,87","92,84","97,47","95,76"
el Parc i la Llacuna del Poblenou,Barri,"99,00","97,94","97,42","96,18","96,65","99,01","100,21","100,65"
la Vila Olímpica del Poblenou,Barri,"149,26","147,46","144,61","142,91","143,90","141,08","139,01","141,28"
el Poblenou,Barri,"101,09","99,75","99,59","99,06","100,88","102,23","104,11","104,49"
Diagonal Mar i el Front Marítim del Poblenou,Barri,"115,38","115,23","111,99","112,96","115,15","116,99","112,86","113,35"
el Besòs i el Maresme,Barri,"62,47","60,87","60,50","60,41","59,27","59,51","63,08","63,26"
Provençals del Poblenou,Barri,"90,97","91,03","89,97","89,09","88,54","89,83","91,90","90,77"
Sant Martí de Provençals,Barri,"87,34","85,25","84,59","84,07","83,71","84,20","86,71","85,40"
la Verneda i la Pau,Barri,"79,11","77,40","76,05","75,73","75,33","76,25","78,88","77,88"
